Lektion 1;;;
c09-013;mūnītiō, mūnītiōnis f;Bau, Befestigung;Munition
c09-014;adhūc Adv.;bis jetzt, noch;
c09-015;prōspicere, prōspiciō;schauen auf, sehen, vorhersehen;Prospekt
c09-016;pūgnāre, pūgnō;kämpfen;
c09-017;patria;Heimat;f. patrie
c09-018;nē ... quidem;nicht einmal;
c09-019;fidūcia;Vertrauen;
c09-020;carēre, careō, caruī m. Abl.;frei sein von, etw. nicht haben;
c09-021;circumvenīre, circumveniō;umringen, umzingeln;
c09-022;cōnfīdere, cōnfīdō;vertrauen;f. confier
c09-023;īnstituere, īnstituō;beginnen, einrichten, unterrichten;Institution, Institut
c09-024;gladius;Schwert;Gladiator, Gladiole
c09-025;repente Adv.;plötzlich;
c09-026;adesse, adsum, adfuī;"da sein; helfen";
c09-027;cōnstat;es ist bekannt, es steht fest;
c09-028;(complēre, compleō), complēvī;anfüllen, erfüllen;
c09-029;Horātius Cocles, Coclitis m;Horatius Cocles ;Held der römischen Frühzeit
c09-030;Tuscī, Tuscōrum m Pl.; die Etrusker ;Toscana
c09-031;Rōmānus, a, um;"römisch; Subst. Römer";
Lektion 10;;;
c10-001;magnus, a, um;groß, bedeutend;„Magnum“
c10-002;multus, a, um;viel;multiplizieren, multikulturell
c10-003;multī, ae;viele;
c10-004;multa n Pl.;viel(es);
c10-005;multum Adv.;sehr, viel;
c10-006;bonus, a, um;gut;Bon, Bonus, Bonbon, f. bon
c10-007;prīmus, a, um;der erste;Primus, prima, Primaten
c10-008;lūx, lūcis f;Licht, Tageslicht;Luzi-fer, e. light
c10-009;prīmā lūce;bei Tagesanbruch (wann?);
c10-010;occupāre, occupō;besetzen, einnehmen;okkupieren, Okkupation
c10-011;vōx, vōcis f;Äußerung, Laut, Stimme;e. voice, f. voix
c10-012;et ... et;sowohl ... als auch;
c10-013;arma, armōrum n Pl.;Waffen, Gerät;Armee, Armatur, e. army
c10-014;terrēre, terreō, terruī;erschrecken;Terror, Terrorist, e. terror
c10-015;homō, hominis m;Mensch;Homo sapiens, f. homme
c10-016;causa;Ursache, Sache, Prozess;Kausalsatz, e./f. cause
c10-017;cōgnōscere, cōgnōscō, cōgnōvī;erkennen, kennenlernen;
c10-018;scelus, sceleris n;"Verbrechen; Schurke";
c10-019;rēx, rēgis m;König;
c10-020;sors, sortis f (Gen. Pl. -ium);Los, Orakelspruch, Schicksal;Sorte
c10-021;miser, misera, miserum;arm, erbärmlich, unglücklich;Misere, miserabel
c10-022;māgnā vōce;mit lauter Stimme;
c10-023;inquit (in die wörtliche rede eingeschobe);sagt(e) er;
c10-024;colere, colō, coluī;"bewirtschaften, pflegen; verehren";
c10-025;nox, noctis f (Gen. Pl. -ium);Nacht;e. night
c10-026;multā nocte;in tiefer Nacht (wann?);
c10-027;propter Präp. m. Akk.;wegen;
c10-028;mors, mortis f (Gen. Pl. -ium);Tod;f. mort
c10-029;expellere, expellō;vertreiben, verbannen;e. to expel
c10-030;superbus, a, um;stolz, überheblich;
c10-031;malus, a, um;schlecht, schlimm;
c10-032;īgnōrāre, īgnōrō;nicht kennen, nicht wissen;Ignorant, e. to ignore
c10-033;nōn īgnōrāre;genau wissen, gut kennen;
c10-034;num (im dir. Fragesatz);etwa?;
c10-035;sanguis, sanguinis m;Blut, Blutvergießen;f. sang
c10-036;sī Subj.;falls, wenn;
c10-037;tūtus, a, um (ā m. Abl.);sicher (vor);
c10-038;tōtus, a, um (Gen. tōtīus Dat. tōtī);ganz;total, totalitär, e. total, f. tout
c10-039;līberāre, līberō;befreien, freilassen;liefern, e. to liberate
c10-040;timēre, timeō, timuī;Angst haben, fürchten;
c10-041;ita Adv.;so;
c10-042;ultimus, a, um;der äußerste, der entfernteste, der letzte;Ultimatum, ultima ratio, ultimativ
c10-043;Tarquinius Superbus ; Tarquinius Superbus ;letzter König Roms
c10-044;L. Iūnius Brūtus;Lucius Junius Brutus;Verschwörer gegen Tarquinius
c10-045;Rōma;Rom;
c10-046;Tarquiniī, ōrum m Pl.;die Tarquinier;
Lektion 11;;;
c11-001;rīdēre, rīdeō, rīsī;lachen, auslachen;
c11-002;vocāre, vocō (m. dopp. Akk.);rufen, nennen; bezeichnen als
c11-003;Rōmam;nach Rom;
c11-004;restāre, restō, restitī;übrig bleiben; Widerstand leisten
c11-005;cōnsulere, cōnsulō, cōnsuluī (m. Akk.);befragen;
c11-006;vīvus, a, um;lebend, lebendig;
c11-007;ūnus, a, um (Gen. ūnīus, Dat. ūnī);ein(er), ein einziger;
c11-008;premere, premō, pressī;(unter)drücken, bedrängen;
c11-009;sōlum (Adv.);nur;
c11-010;vidēre, videō, vīdī;sehen; darauf achten
c11-011;aperīre, aperiō, aperuī;aufdecken, öffnen;
c11-012;equidem;(ich) allerdings, freilich;
c11-013;alius ... alius;der eine ... der andere;
c11-014;bellum;Krieg;
c11-015;proelium;Kampf, Schlacht;
c11-016;dēfendere, dēfendō, dēfendī;verteidigen, abwehren, schützen;
c11-017;pellere, pellō, pepulī;schlagen, vertreiben;
c11-018;tuus, a, um;dein;
c11-019;meus, a, um;mein;
c11-020;mittere, mittō, mīsī;(los)lassen, schicken, werfen;
c11-021;altus, a, um;hoch, tief;
c11-022;opes, opum f Pl.;Macht, Mittel, Reichtum;
c11-023;suus, a, um;ihr, sein;
c11-024;convenīre, conveniō, convēnī;besuchen, zusammenkommen, zusammenpassen;
c11-025;dīcere, dīcō, dīxī;sagen, sprechen;
c11-026;capere, capiō, cēpī;fassen, nehmen; erobern
c11-027;postquam (Subj. mit Ind. Perf.);nachdem;
c11-028;Hannibal, Hannibalis m;Hannibal (Feldherr der Punier);
c11-029;manēre, maneō, mānsī (m. Akk.);bleiben, warten (auf);
c11-030;alius, a, ud;ein anderer;
c11-031;expellere, expellō, expulī;vertreiben, verbannen;
c11-032;moenia, moenium n Pl.;(Stadt-)Mauern;
c11-033;nōn sōlum ... sed etiam;nicht nur ... sondern auch;
c11-034;currere, currō, cucurrī;eilen, laufen;
c11-035;vincere, vincō, vīcī;(be)siegen, übertreffen;
c11-036;venīre, veniō, vēnī;kommen;
c11-037;cēnsor, cēnsōris m;Zensor (röm. Beamter);
c11-038;vērō (Adv.);aber;
c11-039;ē / ex (Präp. m. Abl.);aus, von ... her;
c11-040;ūnus ex / dē (m. Abl.);einer von;
c11-041;amittere, āmittō, āmīsī;aufgeben, verlieren;
c11-042;dare, dō, dedī;geben;
c11-043;mīles, mīlitis m;Soldat;
c11-044;legiō, legiōnis f;Legion (ca. 5000–6000 Mann);
c11-045;narrāre, narrō (dē m. Abl.);erzählen (von / über);
c11-046;cōnsulere, cōnsulō, cōnsuluī (m. Dat.);sorgen für;
c11-047;noster, nostra, nostrum;unser;
c11-048;facere, faciō, fēcī;machen, tun, handeln;
c11-049;cōnsul, cōnsulis m;Konsul (höchster römischer Beamter);
c11-050;labor, labōris m;Anstrengung, Arbeit;
c11-051;cōnsulere, cōnsulō, cōnsuluī (dē m. Abl.);beraten über, befragen über;
c11-052;relinquere, relinquō, relīquī;unbeachtet lassen, verlassen, zurücklassen;
c11-053;respondēre, respondeō, respondī;antworten, entsprechen;
c11-054;ops, opis f;Hilfe; Kraft
c11-055;Alpēs, Alpium f Pl.;die Alpen;
c11-056;cūnctī, ae, a;alle (zusammen);
c11-057;stāre, stō, stetī;stehen;
c11-058;quoque (nachgestellt);auch;
c11-059;sententia;Antrag (im Senat), Meinung; Satz, Sinn
c11-060;dūcere, dūcō, dūxī;führen, ziehen;
c11-061;oppidum;Stadt;
c11-062;aspicere, aspiciō, aspexī;erblicken;
c11-063;cēnsēre, cēnseō, cēnsuī;meinen, einschätzen;
c11-064;caput, capitis n;Kopf; Haupt,  Hauptstadt
c11-065;accedere, accēdō, accessī;herbeikommen, hinzukommen;
c11-066;animadvertere, animadvertō, animadvertī;bemerken, wahrnehmen;
c11-067;Italia;Italien;
Lektion 12;;;
c12-001;appellāre, appellō (m. doppeltem Akk.);anrufen, nennen, bezeichnen (als);
c12-002;quia (Subj. m. Ind.);weil;
c12-003;exemplum, exemplī (n);Beispiel, Vorbild;
c12-004;crīmen, crīminis (n);Beschuldigung, Vorwurf, Verbrechen;
c12-005;virtūs, virtūtis (f);Tapferkeit, Tüchtigkeit, Vorzüglichkeit, Leistung; Pl.: gute Eigenschaften, Verdienste
c12-006;superāre, superō;besiegen, übertreffen;
c12-007;remanēre, remaneō, remānsī;(zurück)bleiben;
c12-008;studēre, studeō, studuī (m. Dat.);sich (wissenschaftlich) beschäftigen, sich bemühen (um), streben (nach);
c12-009;vester, vestra, vestrum;euer;
c12-010;cūrāre, cūrō (m. Akk.);pflegen, sorgen für, besorgen;
c12-011;sōlus, -a, -um (m. Akk.);allein, einzig;
c12-012;familia, familiae (f);Familie, Hausgemeinschaft;
c12-013;imperātor, imperātōris (m);Befehlshaber, Feldherr, Kaiser;
c12-014;quī, quae, quod;welcher, welche, welches; der, die, das (Relativpronomen)
c12-015;accūsāre, accūsō;anklagen, beschuldigen;
c12-016;(P. Cornelius)Scīpiō, Scīpiōnis (m);Scipio (römischer Feldherr, Sieger über Hannibal);
c12-017;neque / nec;und nicht, auch nicht, nicht einmal;
c12-018;Āfrica, Āfricae (f);Afrika;
c12-019;(L.) Aemilius Paullus;Lucius Aemilius Paullus (römischer Feldherr);
c12-020;falsus, -a, -um;falsch;
c12-021;dēcernere, dēcernō, dēcrēvī;beschließen, entscheiden, zuerkennen;
c12-022;nescīre, nesciō, nescīvī;nicht wissen, nicht kennen;
c12-023;imprimīs (Adv.);besonders, vor allem;
c12-024;factum, factī (n);Handlung, Tat, Tatsache;
c12-025;dīmittere, dīmittō, dīmīsī;aufgeben, entlassen;
c12-026;dēspērāre, dēspērō (dē m. Abl.);die Hoffnung aufgeben (auf), verzweifeln (an);
c12-027;licet (unpers.);es ist erlaubt, es ist möglich;
c12-028;subicere, subiciō, subiēcī;darunterlegen, unterwerfen;
c12-029;vīta, vītae (f);Leben, Lebensweise;
c12-030;clārus, -a, -um;berühmt, hell, klar;
c12-031;victōria, victōriae (f);Sieg;
c12-032;Poenī, Poenōrum (m Pl.);die Punier;
c12-033;errāre, errō;(sich) irren;
Lektion 13;;;
c13-001;sibi adiungere;für sich gewinnen;
c13-002;Nīlus;der Nil;
c13-003;is, ea, id;dieser, diese, dieses; er, sie, es
c13-004;pulcher, pulchra, pulchrum;schön;
c13-005;Aegyptus, Aegyptī (f);Ägypten;
c13-006;conicere, coniciō, coniēcī;(zusammen)werfen, folgern, vermuten;
c13-007;celer, celeris, celere;schnell;
c13-008;surgere, surgō, surrēxī;aufstehen, sich erheben;
c13-009;monumentum;Denkmal;
c13-010;fortis, e;tapfer, kräftig;
c13-011;contentus, a, um (m. Abl.);zufrieden (mit);
c13-012;corpus, corporis (n);Körper, Leichnam;
c13-013;omnia (n Pl.);alles;
c13-014;potius (Adv.);eher, lieber;
c13-015;imperium;Befehl, Befehlsgewalt, Herrschaft, Herrschaftsgebiet;
c13-016;potēns, potentis;mächtig, stark;
c13-017;valēre, valeō, valuī;Einfluss haben, gesund sein, stark sein;
c13-018;novus, a, um;neu, ungewöhnlich;
c13-019;sibi (Dat.);sich;
c13-020;inimīcus, a, um;feindlich; Subst. Feind
c13-021;numerus;Menge, Zahl;
